,Total flow
131,-4890725200.712097
132,-7896771680.137924
133,-7709784265.540024
134,-7261148598.641281
135,-18067248204.62648
136,-5227652524.816223
137,-7127559994.373276
138,-4649394207.218979
139,-9021157706.165085
140,-9311460105.288391
141,-9169483236.84645
142,-9170358424.081558
143,-8052431383.594498
144,-8657863026.40866
145,-6761823121.900452
146,-8303579433.587967
147,-12320489618.175415
148,-7107287991.852325
149,-9077121922.831451
150,-9077857021.839355
151,-7898079660.932953
152,388999608.3055725
153,-5335744391.3767395
154,-3601220975.1474457
155,-5892481542.516373
156,-10887634568.522919
157,-12992873799.9402
158,-6740864059.838593
159,-1091660822.5364075
160,-6513061963.841827
161,-4598395938.072006
162,-9842767150.8367
163,-3747596525.2341614
164,-229122451.14045715
165,-756475894.9055786
166,-4602683002.228104
167,-3541365001.456482
168,-9649794774.20015
169,-4705603914.2677765
170,-15285477781.926636
171,-1208977150.0416412
172,-2103302049.2486877
173,-6736606724.009018
174,-12189405470.613281
175,-8160292745.004303
176,-8146670804.982819
177,-5893039710.684235
178,-1091712002.2712097
179,-6582582456.756348
180,-3708582105.3489685
181,-4599493473.721451
182,-2539267578.2434845
183,-9870581846.61261
184,-7324423080.357956
185,-12904648900.9767
186,-2192877580.1310425
187,-5595448917.231125
188,-8179461874.344803
189,-7897271112.879379
190,-3065749410.1128845
191,-2194496516.056015
192,-9165027536.295807
193,-10158200344.369095
194,-10754559104.413635
195,-11991430966.195023
196,-5794547820.411438
197,-11881076189.301987
198,-2862032528.814453
199,-6848689568.283844
200,-7365218376.195068
201,-11886897308.814545
202,-9400135316.304749
203,-13667656814.16629
204,-9857334277.45465
205,-21780922136.425354
206,-1884530117.6072083
207,-1608808636.8187866
208,-9401362661.318481
209,-10413199606.16986
210,-13114625906.250153
211,-4798467019.216583
212,-3845474340.431366
213,-5928908348.924866
214,-11109545937.327911
215,-7792793063.0784
216,-5662588372.760681
217,-523772179.3821564
218,-14596818425.610382
219,-14486907764.182281
220,-8217228699.869843
221,-2854149800.8651123
222,-13090123758.122223
223,-6748368341.819794
224,-6400315306.4856415
225,-8145124481.661438
226,-2511098876.6710815
227,-10298765941.257233
228,-6476522694.76944
229,-9012020868.759155
230,-4968213708.119141
231,-7814320229.964813
232,-6108919871.50798
233,-11271512247.08104
234,-9544609383.093079
235,-8816855972.826416
236,-9437360208.381866
237,-6358138926.345749
238,-6032124865.360382
239,-8497300932.302582
240,-7842265212.989532
241,-14356848775.206512
242,-12618712029.725967
243,-6545657947.809479
244,-12736342008.47528
245,-4099698946.75296
246,-14538709256.413773
247,-12627684196.826447
248,-11032795399.70877
249,-7965059526.48761
250,-11955294568.887543
251,-5037934034.674438
252,-22160331714.01947
253,-11806821820.071198
254,-6800160856.915665
