,Total flow
count,1000.0
mean,-8265347918.052094
std,3692324939.2656837
min,-22160331714.01947
25%,-10562811693.215397
50%,-7984905852.445686
75%,-5829776583.430283
max,626706636.551239
negative total flow probability,0.997
